#id,gabe_ra,gabe_dec,m_F140W,m_F160W,z_p,z_spec,STELLARITY,in_obs_region_1,in_obs_region_2,in_obs_region_3,NRS_F110W,NRS_F140X,NRS_CLEAR,REFERENCE,WEIGHT,comment
18116,150.07531281447703,2.3701390848375414,23.331085129622462,23.11556948072696,1.78,-99.0,0.11,False,True,True,23.857341766357425,23.505207061767575,22.764759063720703,0,10000000,QU: Gabe highP Gabe QU
19589,150.06669293409638,2.3823576971347435,25.873429937680584,25.42112537001061,3.74,-99.0,0.47,False,True,True,26.752605438232425,25.48453521728516,23.617280960083008,0,10000000,QU:z>3 M>9:z>3 M>10: S18 QU R:
18842,150.08725587064987,2.396039108805998,24.76349030654925,24.430996589436482,3.51,-99.0,0.54,False,False,True,25.30613899230957,24.51691627502441,23.342315673828125,0,10000000, SF z>2: SF M>9 z>3: 0 S18 QU R:
20133,150.12171998736503,2.3746059473413235,26.076222877957935,25.835810703021565,3.532,-99.0,0.94,False,True,True,26.288471221923828,25.64093589782715,24.18931770324707,1,1000000,QU:z>3 M>9:z>3 M>10: S18 QU C:
20115,150.06146711211832,2.37868632175705,,24.3779832396782,3.555,-99.0,0.2,False,True,True,25.77232360839844,24.30302047729492,22.53631019592285,0,1000000,QU:z>3 M>9:z>3 M>10: S18 QU C:
20032,150.1125143377091,2.3765394706641403,26.111417394863356,25.213259065923722,2.942,-99.0,0.55,False,True,True,27.55750846862793,25.768442153930664,22.970348358154297,0,1000000, DU z>2 S18 QU C:
19200,150.11777428616878,2.386858751086782,25.017227616498673,24.703519849804646,3.717,-99.0,0.85,False,True,True,25.30433654785156,24.844575881958008,23.88023376464844,1,100000, SF z>2: SF M>9 z>3: 0 Gabe highP Gabe PSB
14598,150.06815380368687,2.334333591418905,23.751909845434028,23.390411308746547,2.55,-99.0,0.97,False,True,True,24.68197059631348,23.91303253173828,23.092329025268555,1,60000,QU: Gabe highP
16273,150.07853784836496,2.352352252068573,25.06238485681392,25.026903990909627,5.49,-99.0,0.33,False,True,True,25.44588279724121,25.37799072265625,24.454307556152344,0,60000, DU z>2 DU M>9 z>3: z>4 all: Gabe highP
17391,150.07948627713483,2.362614711765236,24.421402486911795,24.148785606200175,3.041,-99.0,0.01,False,True,True,25.09245491027832,24.45802116394043,23.271142959594727,0,60000, DU z>2 DU M>9 z>3: Gabe highP
19910,150.1028507528194,2.3794052236515437,24.920176737030477,24.663792224012337,2.294,-99.0,0.23,False,True,True,26.416244506835938,25.081342697143555,23.138370513916016,0,60000, DU z>2 Gabe highP
14627,150.06768573022754,2.3347436561470998,24.079519955172646,23.986006663029244,4.505,4.3008,0.24,False,True,True,24.127933502197266,24.127666473388672,23.87130355834961,0,20000, SF z>2: SF M>9 z>3: z_spec>2: z_spec>3: z>4 all: z>4 s:
20660,150.09991495085393,2.3762650383823085,25.111582898457634,25.11102112398569,4.644,-99.0,0.01,False,True,True,25.18234062194824,25.168336868286133,24.8015079498291,0,15000, SF z>2: SF M>9 z>3: z>4 all:
16103,150.12616729052914,2.3508472999561114,25.95882434396987,25.96969405448355,4.644,-99.0,0.28,False,True,True,26.10737419128418,26.03470993041992,25.12858009338379,0,15000, SF z>2: SF M>9 z>3: z>4 all:
16108,150.08315468242492,2.350733090656723,25.33248834568418,25.620795897989705,4.644,-99.0,0.3,False,True,True,25.70528221130371,25.734018325805664,25.54884147644043,0,15000, SF z>2: z>4 all:
17268,150.07171499739925,2.3618798373092833,25.120981167563407,25.09973198247173,4.933,-99.0,0.52,False,True,True,25.2547607421875,25.166229248046875,24.3754940032959,0,15000, SF z>2: SF M>9 z>3: z>4 all:
16689,150.07059357066936,2.356297694119876,24.783477638567632,24.643541459957255,5.023,-99.0,0.01,False,True,True,25.098012924194336,25.02983283996582,24.351482391357425,0,15000, SF z>2: SF M>9 z>3: z>4 all:
17569,150.08194088819016,2.3645668169615974,25.074763044792313,25.3855655685125,4.644,-99.0,0.01,False,True,True,25.35621833801269,25.245641708374023,24.38566780090332,0,15000, SF z>2: SF M>9 z>3: z>4 all:
19972,150.07413225465427,2.379672999489723,24.044840266514285,24.182302870289874,4.816,-99.0,0.05,False,True,True,24.23222541809082,24.25908088684082,24.059858322143555,0,15000, SF z>2: SF M>9 z>3: z>4 all:
20697,150.0724657562211,2.3701038088680098,25.182293021003964,24.777251673216185,4.058,3.9476,0.18,False,True,True,24.914522171020508,24.882966995239254,24.61896514892578,0,15000, SF z>2: SF M>9 z>3: z_spec>2: z_spec>3: z>4 all:
19702,150.07393979030118,2.380797245356555,25.67812767014192,25.146651325857633,4.561,-99.0,0.82,False,True,True,25.245948791503903,25.247323989868164,24.99858856201172,0,15000, DU z>2 DU M>9 z>3: z>4 all:
16616,150.06813757834266,2.355692544679902,25.638946759428105,25.087038095502002,4.933,-99.0,0.0,False,True,True,25.29767608642578,25.33901023864746,25.178525924682617,0,15000, SF z>2: SF M>9 z>3: z>4 all:
17810,150.05310824336794,2.3700392061263695,25.354517514728403,25.401117918490144,4.644,-99.0,0.0,False,True,True,25.71950912475586,25.641921997070312,24.7231388092041,0,15000, DU z>2 DU M>9 z>3: z>4 all:
18159,150.0673701208987,2.3711528188660993,24.507936638832007,24.473147244033736,4.343,-99.0,0.04,False,True,True,24.626039505004883,24.602706909179688,24.31151390075684,0,15000, SF z>2: SF M>9 z>3: z>4 all:
19947,150.07491657449341,2.3769824559199257,24.420103347887824,24.240239551851243,4.109,-99.0,0.01,False,True,True,24.56647491455078,24.479372024536133,24.05071830749512,0,15000, SF z>2: SF M>9 z>3: z>4 all:
17513,150.12089466644161,2.3646236955945685,25.40831324555929,25.316237845703693,4.343,-99.0,0.05,False,True,True,25.475976943969727,25.46627616882324,25.321334838867188,0,15000, SF z>2: SF M>9 z>3: z>4 all:
17023,150.0806833670008,2.3598663269323485,25.455237489004194,25.523309136108953,4.212,-99.0,0.03,False,True,True,25.661800384521484,25.57881164550781,24.9357967376709,0,15000, SF z>2: SF M>9 z>3: z>4 all:
17955,150.07007264402006,2.3676146801150093,24.183443588710862,24.083284360039784,4.933,-99.0,0.19,False,True,True,24.154136657714844,24.11861991882324,23.581640243530277,0,15000, SF z>2: SF M>9 z>3: z>4 all:
20235,150.09597150874671,2.371889202777681,25.32994737026701,25.207121455338456,4.083,-99.0,0.03,False,True,True,25.50189971923828,25.3826904296875,24.846893310546875,0,15000, SF z>2: SF M>9 z>3: z>4 all:
19409,150.0744322966621,2.3829867140629237,24.78830018917318,24.85342256191721,4.343,-99.0,0.01,False,True,True,25.1657657623291,25.128551483154297,24.7670841217041,0,15000, DU z>2 DU M>9 z>3: z>4 all:
17099,150.07125301023598,2.3605620443832485,25.15379950856071,24.772865317871336,4.963,-99.0,,False,True,True,25.350482940673828,25.162826538085938,23.042255401611328,0,15000,QU:z>3 M>9:z>3 M>10: z>4 all:
15785,150.07206478308248,2.3477813053364973,25.476604140378296,25.994947742336016,4.758,-99.0,0.45,False,True,True,25.80006980895996,25.79253196716309,25.46536064147949,0,15000, DU z>2 DU M>9 z>3: z>4 all:
18357,150.11431083749792,2.369860373701269,24.655373007810805,24.28885548524127,4.397,-99.0,0.7,False,True,True,24.782888412475582,24.597393035888672,23.62116432189941,0,15000, SF z>2: SF M>9 z>3: z>4 all:
16911,150.11212371672065,2.3573691558769045,,,4.008,-99.0,0.14,False,True,True,24.732622146606445,24.50057601928711,23.13232421875,0,15000, SF z>2: SF M>9 z>3: z>4 all:
15739,150.0936131014373,2.3470625596577683,26.07878872430482,25.478829421520295,5.362,-99.0,0.09,False,True,True,25.788501739501957,25.77237701416016,25.454496383666992,0,15000, DU z>2 DU M>9 z>3: z>4 all:
15420,150.09900755477594,2.3436221272909843,25.261608027255118,25.318320316423474,7.205,-99.0,0.84,False,True,True,25.16061019897461,25.49939346313477,25.052722930908203,1,15000, SF z>2: SF M>9 z>3: z>4 all:
16605,150.07058367430014,2.354763706905547,24.32576242616546,24.175681776688325,3.764,3.6097,0.02,False,True,True,24.352548599243164,24.24504280090332,23.80953598022461,0,10000, SF z>2: SF M>9 z>3: z_spec>2: z_spec>3:
17480,150.06905825531862,2.3638180824788573,25.04425858463632,24.675292111648446,3.51,3.4331,0.02,False,True,True,25.10384559631348,24.905431747436523,24.48375129699707,0,10000, SF z>2: SF M>9 z>3: z_spec>2: z_spec>3:
20550,150.08704408658562,2.370433435007434,23.406736085947674,23.249374617311695,2.621,2.5511,0.03,False,True,True,23.97709083557129,23.582162857055664,23.1147403717041,0,5000, SF z>2: z_spec>2:
15351,150.06560772173725,2.342420249172695,24.44211063867149,24.18817268495293,2.787,2.7648,0.03,False,True,True,24.76425552368164,24.57392120361328,24.42070579528809,0,5000, SF z>2: z_spec>2:
16213,150.08803101707565,2.35029498916197,23.0889319548779,22.74114238635337,2.603,2.5558,0.02,False,True,True,23.6634578704834,23.12294578552246,22.380083084106445,0,5000, SF z>2: z_spec>2:
14230,150.06452449498715,2.329034766258146,21.256297109946495,21.161204566538256,3.355,2.447,0.0,False,False,True,21.642654418945312,21.35223388671875,20.60202407836914,0,5000, SF z>2: SF M>9 z>3: z_spec>2:
16178,150.09205848883704,2.351301852245702,24.638276546115627,24.540843332796463,2.942,2.9162,0.16,False,True,True,24.90099334716797,24.67376708984375,24.647693634033203,0,5000, SF z>2: z_spec>2:
19488,150.0968179523718,2.383502278380588,24.581566338946978,24.522581839602545,2.394,2.5114,0.02,False,True,True,24.93547821044922,24.7537841796875,24.693578720092773,0,5000, SF z>2: z_spec>2:
16048,150.12261215031694,2.347192545521483,22.71636610917879,22.388797594917577,2.394,2.4325,0.49,False,True,True,23.35648536682129,22.835983276367188,22.057567596435547,0,5000, SF z>2: z_spec>2:
13840,150.05651050304616,2.3263214329911697,,24.77902181871843,2.961,2.9803,0.49,False,False,True,25.17667579650879,24.94046401977539,24.759531021118164,0,5000, SF z>2: z_spec>2:
